Year ,Month,Transport Mode,Volume ,Rate,,,,
2011,July,London Tramlink,38,15.6,,,,
2011,August,London Tramlink,35,16.6,,,,
2011,September,London Tramlink,26,10.4,,,,
2011,October,London Tramlink,22,8.8,,,,
2011,November,London Tramlink,27,10.5,,,,
2011,December,London Tramlink,33,14,,,,
2012,January,London Tramlink,18,7.6,,,,
2012,February,London Tramlink,18,8.5,,,,
2012,March,London Tramlink,35,13.5,,,,
2012,April,Bus,"1,653",8.9,,,,
2012,May,Bus,"1,823",8.5,,,,
2012,June,Bus,"1,688",8.8,,,,
2012,July,Bus,"1,822",9.1,,,,
2012,August,Bus,"1,591",8.7,,,,
2012,September,Bus,"1,505",7.3,,,,
2012,October,Bus,"1,822",8.6,,,,
2012,November,Bus,"1,823",9,,,,
2012,December,Bus,"1,725",9.5,,,,
2013,January,Bus,"1,581",8.3,,,,
2013,February,Bus,"1,572",8.7,,,,
2013,March,Bus,"1,644",8.2,,,,
2012,April,London Underground / Docklands Light Railway,934,9.1,,,,
2012,May,London Underground / Docklands Light Railway,"1,100",9.9,,,,
2012,June,London Underground / Docklands Light Railway,"1,047",10.1,,,,
2012,July,London Underground / Docklands Light Railway,"1,205",10.4,,,,
2012,August,London Underground / Docklands Light Railway,948,7.9,,,,
2012,September,London Underground / Docklands Light Railway,884,8.1,,,,
2012,October,London Underground / Docklands Light Railway,"1,158",9.8,,,,
2012,November,London Underground / Docklands Light Railway,"1,304",11.4,,,,
2012,December,London Underground / Docklands Light Railway,"1,037",10,,,,
2013,January,London Underground / Docklands Light Railway,"1,108",10.5,,,,
2013,February,London Underground / Docklands Light Railway,999,9.8,,,,
2013,March,London Underground / Docklands Light Railway,"1,221",11,,,,
2012,April,London Overground,64,7.1,,,,
2012,May,London Overground,72,7.2,,,,
2012,June,London Overground,75,8.2,,,,
2012,July,London Overground,80,7.6,,,,
2012,August,London Overground,97,8.7,,,,
2012,September,London Overground,99,9.4,,,,
2012,October,London Overground,93,8.7,,,,
2012,November,London Overground,100,9,,,,
2012,December,London Overground,72,7.5,,,,
2013,January,London Overground,76,6.9,,,,
2013,February,London Overground,68,6.4,,,,
2013,March,London Overground,65,5.6,,,,
2012,April,London Tramlink,19,8.3,,,,
2012,May,London Tramlink,46,17.5,,,,
2012,June,London Tramlink,35,14.7,,,,
2012,July,London Tramlink,36,13.4,,,,
2012,August,London Tramlink,31,12.3,,,,
2012,September,London Tramlink,21,8,,,,
2012,October,London Tramlink,32,12.7,,,,
2012,November,London Tramlink,31,11.9,,,,
2012,December,London Tramlink,31,12.9,,,,
2013,January,London Tramlink,29,11.8,,,,
2013,February,London Tramlink,21,9.1,,,,
2013,March,London Tramlink,23,8.9,,,,
2012,April,All transport modes,"2,670",8.9,,,,
2012,May,All transport modes,"3,041",9,,,,
2012,June,All transport modes,"2,845",9.2,,,,
2012,July,All transport modes,"3,143",9.5,,,,
2012,August,All transport modes,"2,667",8.4,,,,
2012,September,All transport modes,"2,509",7.7,,,,
2012,October,All transport modes,"3,105",9.1,,,,
2012,November,All transport modes,"3,258",9.9,,,,
2012,December,All transport modes,"2,865",9.6,,,,
2013,January,All transport modes,"2,794",9.1,,,,
2013,February,All transport modes,"2,660",9,,,,
2013,March,All transport modes,"2,953",9.1,,,,
2013,April,Bus,"1,578",8.2,,,,
2013,May,Bus,"1,610",7.8,,,,
2013,June,Bus,"1,589",7.8,,,,
2013,July,Bus,"1,629",7.9,,,,
2013,August,Bus,"1,571",8.6,,,,
2013,September,Bus,"1,563",7.6,,,,
2013,October,Bus,"1,675",7.9,,,,
2013,November,Bus,"1,511",7.3,,,,
2013,December,Bus,"1,328",7.1,,,,
2014,January,Bus,"1,370",6.9,,,,
2014,February,Bus,"1,344",7.2,,,,
2014,March,Bus,"1,464",6.8,,,,
2013,April,London Underground / Docklands Light Railway,"1,018",9.2,,,,
2013,May,London Underground / Docklands Light Railway,954,8.3,,,,
2013,June,London Underground / Docklands Light Railway,963,8.6,,,,
2013,July,London Underground / Docklands Light Railway,"1,018",8.6,,,,
2013,August,London Underground / Docklands Light Railway,982,9.1,,,,
2013,September,London Underground / Docklands Light Railway,870,7.8,,,,
2013,October,London Underground / Docklands Light Railway,932,7.5,,,,
2013,November,London Underground / Docklands Light Railway,866,7.1,,,,
2013,December,London Underground / Docklands Light Railway,829,7.7,,,,
