Year,Month,Transport Mode,Crime Volume,Rate
2013,2,London Tramlink,21.0,9.1
2013,2,London Underground / Docklands Light Railway,999.0,9.8
2013,3,Bus,1644.0,8.2
2013,3,London Overground,65.0,5.6
2013,3,London Tramlink,23.0,8.9
2013,3,London Underground / Docklands Light Railway,1221.0,11.0
2013,4,Bus,1578.0,8.2
2013,4,London Overground,75.0,6.6
2013,4,London Tramlink,41.0,16.1
2013,4,London Underground / Docklands Light Railway,1018.0,9.2
2013,5,Bus,1610.0,7.8
2013,5,London Overground,91.0,7.9
2013,5,London Tramlink,36.0,13.6
2013,5,London Underground / Docklands Light Railway,954.0,8.3
2013,6,Bus,1589.0,7.8
2013,6,London Overground,84.0,7.1
2013,6,London Tramlink,30.0,11.3
2013,6,London Underground / Docklands Light Railway,963.0,8.6
2013,7,Bus,1629.0,7.9
2013,7,London Overground,81.0,6.5
2013,7,London Tramlink,34.0,12.6
2013,7,London Underground / Docklands Light Railway,1018.0,8.6
2013,8,Bus,1571.0,8.6
2013,8,London Overground,48.0,4.3
2013,8,London Tramlink,28.0,12.8
2013,8,London Underground / Docklands Light Railway,982.0,9.1
2013,9,Bus,1563.0,7.6
2013,9,London Overground,68.0,5.8
2013,9,London Tramlink,22.0,8.3
2013,9,London Underground / Docklands Light Railway,870.0,7.8
2013,10,Bus,1675.0,7.9
2013,10,London Overground,80.0,7.1
2013,10,London Tramlink,33.0,11.8
2013,10,London Underground / Docklands Light Railway,932.0,7.5
2013,11,Bus,1511.0,7.3
2013,11,London Overground,70.0,6.2
2013,11,London Tramlink,19.0,6.8
2013,11,London Underground / Docklands Light Railway,866.0,7.1
2013,12,Bus,1328.0,7.1
2013,12,London Overground,64.0,6.5
2013,12,London Tramlink,20.0,8.4
2013,12,London Underground / Docklands Light Railway,829.0,7.7
2014,1,Bus,1370.0,6.9
2014,1,London Overground,81.0,7.4
2014,1,London Tramlink,21.0,8.0
2014,1,London Underground / Docklands Light Railway,973.0,8.6
2014,2,Bus,1344.0,7.2
2014,2,London Overground,75.0,6.9
2014,2,London Tramlink,22.0,9.1
2014,2,London Underground / Docklands Light Railway,850.0,8.3
2014,3,Bus,1464.0,6.8
2014,3,London Overground,82.0,7.1
2014,3,London Tramlink,12.0,4.2
2014,3,London Underground / Docklands Light Railway,914.0,7.7
2014,4,Bus,1306.0,6.8
2014,4,London Overground,83.0,7.3
2014,4,London Tramlink,14.0,5.6
2014,4,London Underground / Docklands Light Railway,749.0,7.0
2014,5,Bus,1350.0,6.6
2014,5,London Overground,91.0,8.4
2014,5,London Tramlink,13.0,5.4
2014,5,London Underground / Docklands Light Railway,747.0,6.5
2014,6,Bus,1438.0,6.9
2014,6,London Overground,75.0,6.7
2014,6,London Tramlink,14.0,5.3
2014,6,London Underground / Docklands Light Railway,841.0,7.3
2014,7,Bus,1392.0,6.8
2014,7,London Overground,80.0,6.5
2014,7,London Tramlink,19.0,7.2
2014,7,London Underground / Docklands Light Railway,859.0,7.0
2014,8,Bus,1183.0,6.6
2014,8,London Overground,70.0,5.9
