Month,Year,Transport Mode,Volume
11,2013,London Tramlink,2.6
12,2013,London Tramlink,2.0
1,2014,London Tramlink,2.4
2,2014,London Tramlink,2.4
3,2014,London Tramlink,2.8
4,2014,London Tramlink,2.2
5,2014,London Tramlink,2.4
6,2014,London Tramlink,2.3
7,2014,London Tramlink,2.5
8,2014,London Tramlink,2.0
8,2014,London Tramlink,2.3
9,2014,London Tramlink,2.6
10,2014,London Tramlink,2.4
11,2014,London Tramlink,2.6
12,2014,London Tramlink,2.1
1,2015,London Tramlink,2.4
2,2015,London Tramlink,2.4
3,2015,London Tramlink,2.5
4,2015,London Tramlink,2.1
5,2015,London Tramlink,2.0
6,2015,London Tramlink,2.1
7,2015,London Tramlink,2.2
8,2015,London Tramlink,1.8
9,2015,London Tramlink,2.0
10,2015,London Tramlink,2.2
11,2015,London Tramlink,2.2
11,2015,London Tramlink,2.3
12,2015,London Tramlink,1.8
1,2016,London Tramlink,2.1
2,2016,London Tramlink,2.2
3,2016,London Tramlink,1.9
4,2016,London Tramlink,2.4
5,2016,London Tramlink,2.4
6,2016,London Tramlink,2.3
7,2016,London Tramlink,2.4
8,2016,London Tramlink,1.8
9,2016,London Tramlink,2.2
10,2016,London Tramlink,2.5
10,2016,London Tramlink,2.2
11,2016,London Tramlink,2.1
12,2016,London Tramlink,2.1
1,2017,London Tramlink,2.4
2,2017,London Tramlink,2.2
3,2017,London Tramlink,2.4
4,2017,London Tramlink,2.1
5,2017,London Tramlink,2.3
6,2017,London Tramlink,2.2
7,2017,London Tramlink,2.4
8,2017,London Tramlink,2.1
9,2017,London Tramlink,2.2
10,2017,London Tramlink,2.5
10,2017,London Tramlink,2.3
11,2017,London Tramlink,2.4
12,2017,London Tramlink,1.9
1,2018,London Tramlink,2.2
2,2018,London Tramlink,2.2
3,2018,London Tramlink,2.2
4,2018,London Tramlink,1.9
5,2018,London Tramlink,2.3
6,2018,London Tramlink,2.3
7,2018,London Tramlink,2.4
8,2018,London Tramlink,2.1
9,2018,London Tramlink,2.2
9,2018,London Tramlink,2.4
10,2018,London Tramlink,2.3
11,2018,London Tramlink,2.4
12,2018,London Tramlink,1.9
1,2019,London Tramlink,2.2
2,2019,London Tramlink,2.2
3,2019,London Tramlink,2.2
4,2019,London Tramlink,2.0
5,2019,London Tramlink,2.2
6,2019,London Tramlink,2.2
7,2019,London Tramlink,2.3
8,2019,London Tramlink,2.0
9,2019,London Tramlink,1.6
9,2019,London Tramlink,2.3
10,2019,London Tramlink,2.2
11,2019,London Tramlink,2.3
12,2019,London Tramlink,1.9
1,2020,London Tramlink,2.3
2,2020,London Tramlink,2.2
3,2020,London Tramlink,1.6
4,2020,London Tramlink,0.4
5,2020,London Tramlink,0.5
6,2020,London Tramlink,0.7
7,2020,London Tramlink,1.0
8,2020,London Tramlink,1.0
9,2020,London Tramlink,1.2
10,2020,London Tramlink,1.4
11,2020,London Tramlink,1.0
11,2020,London Tramlink,1.1
12,2020,London Tramlink,0.7
1,2021,London Tramlink,0.7
2,2021,London Tramlink,0.8
3,2021,London Tramlink,1.0
4,2021,London Tramlink,1.3
5,2021,London Tramlink,1.5
6,2021,London Tramlink,1.5
7,2021,London Tramlink,1.5
8,2021,London Tramlink,1.3
9,2021,London Tramlink,1.2
10,2021,London Tramlink,1.7
10,2021,London Tramlink,1.7
11,2021,London Tramlink,1.6
12,2021,London Tramlink,1.2
1,2022,London Tramlink,1.6
2,2022,London Tramlink,1.4
3,2022,London Tramlink,1.5
4,2022,London Tramlink,1.6
5,2022,London Tramlink,1.8
6,2022,London Tramlink,1.7
7,2022,London Tramlink,1.5
8,2022,London Tramlink,1.5
9,2022,London Tramlink,1.5
10,2022,London Tramlink,1.6
10,2022,London Tramlink,1.7
11,2022,London Tramlink,1.6
12,2022,London Tramlink,1.3
1,2023,London Tramlink,1.8
2,2023,London Tramlink,1.6
3,2023,London Tramlink,1.7
4,2023,London Tramlink,1.4
5,2023,London Tramlink,1.6
6,2023,London Tramlink,1.7
7,2023,London Tramlink,1.6
8,2023,London Tramlink,1.4
9,2023,London Tramlink,1.7
10,2023,London Tramlink,1.6
10,2023,London Tramlink,1.3
11,2023,London Tramlink,1.7
12,2023,London Tramlink,1.4
1,2024,London Tramlink,1.7
2,2024,London Tramlink,1.2
3,2024,London Tramlink,1.6
4,2024,London Tramlink,0.7
5,2024,London Tramlink,1.4
6,2024,London Tramlink,1.5
7,2024,London Tramlink,1.6
4,2010,London Overground,0.0
5,2010,London Overground,0.0
6,2010,London Overground,0.0
7,2010,London Overground,0.0
8,2010,London Overground,0.0
9,2010,London Overground,0.0
10,2010,London Overground,0.0
10,2010,London Overground,5.6
11,2010,London Overground,5.4
12,2010,London Overground,3.5
1,2011,London Overground,5.2
2,2011,London Overground,5.2
3,2011,London Overground,5.8
4,2011,London Overground,6.3
5,2011,London Overground,6.4
6,2011,London Overground,6.9
7,2011,London Overground,7.6
8,2011,London Overground,7.7
9,2011,London Overground,7.7
10,2011,London Overground,8.7
10,2011,London Overground,8.8
11,2011,London Overground,9.0
12,2011,London Overground,6.9
1,2012,London Overground,8.7
2,2012,London Overground,8.8
3,2012,London Overground,9.1
4,2012,London Overground,8.5
5,2012,London Overground,8.9
6,2012,London Overground,8.6
7,2012,London Overground,8.9
8,2012,London Overground,10.5
9,2012,London Overground,9.8
9,2012,London Overground,9.7
10,2012,London Overground,9.8
11,2012,London Overground,10.0
12,2012,London Overground,8.2
1,2013,London Overground,10.2
2,2013,London Overground,10.7
3,2013,London Overground,10.8
4,2013,London Overground,10.3
5,2013,London Overground,10.3
6,2013,London Overground,10.9
7,2013,London Overground,11.3
8,2013,London Overground,10.6
9,2013,London Overground,10.4
9,2013,London Overground,11.2
10,2013,London Overground,9.6
11,2013,London Overground,10.6
12,2013,London Overground,8.1
1,2014,London Overground,10.3
2,2014,London Overground,10.8
3,2014,London Overground,11.3
4,2014,London Overground,9.7
5,2014,London Overground,10.5
6,2014,London Overground,10.5
7,2014,London Overground,10.8
8,2014,London Overground,10.6
8,2014,London Overground,10.8
9,2014,London Overground,10.8
10,2014,London Overground,11.0
11,2014,London Overground,11.2
12,2014,London Overground,8.7
1,2015,London Overground,11.4
2,2015,London Overground,11.1
3,2015,London Overground,12.6
4,2015,London Overground,13.3
5,2015,London Overground,11.8
6,2015,London Overground,14.7
7,2015,London Overground,14.9
8,2015,London Overground,13.8
9,2015,London Overground,13.9
10,2015,London Overground,15.7
11,2015,London Overground,15.5
11,2015,London Overground,15.8
12,2015,London Overground,11.3
1,2016,London Overground,15.4
2,2016,London Overground,14.5
3,2016,London Overground,12.6
4,2016,London Overground,15.6
5,2016,London Overground,14.4
6,2016,London Overground,13.8
7,2016,London Overground,14.1
8,2016,London Overground,13.7
9,2016,London Overground,14.2
10,2016,London Overground,15.2
10,2016,London Overground,15.4
11,2016,London Overground,15.7
12,2016,London Overground,12.0
1,2017,London Overground,14.8
2,2017,London Overground,14.6
3,2017,London Overground,15.1
4,2017,London Overground,14.7
5,2017,London Overground,14.8
6,2017,London Overground,14.4
7,2017,London Overground,15.0
8,2017,London Overground,14.4
9,2017,London Overground,14.5
10,2017,London Overground,15.6
10,2017,London Overground,15.4
11,2017,London Overground,15.5
12,2017,London Overground,11.6
1,2018,London Overground,14.8
2,2018,London Overground,14.1
3,2018,London Overground,15.1
4,2018,London Overground,14.7
5,2018,London Overground,14.4
6,2018,London Overground,14.3
7,2018,London Overground,14.8
8,2018,London Overground,14.0
9,2018,London Overground,14.1
9,2018,London Overground,15.8
10,2018,London Overground,15.6
11,2018,London Overground,15.6
12,2018,London Overground,11.6
1,2019,London Overground,14.5
2,2019,London Overground,14.4
3,2019,London Overground,15.7
4,2019,London Overground,13.9
5,2019,London Overground,14.2
6,2019,London Overground,13.8
7,2019,London Overground,14.8
8,2019,London Overground,12.9
9,2019,London Overground,13.5
9,2019,London Overground,17.8
10,2019,London Overground,17.1
11,2019,London Overground,15.8
12,2019,London Overground,10.6
1,2020,London Overground,14.1
2,2020,London Overground,15.6
3,2020,London Overground,13.0
4,2020,London Overground,1.0
5,2020,London Overground,1.5
6,2020,London Overground,2.8
7,2020,London Overground,4.5
8,2020,London Overground,5.1
9,2020,London Overground,6.6
10,2020,London Overground,8.5
11,2020,London Overground,7.1
11,2020,London Overground,6.6
12,2020,London Overground,3.2
1,2021,London Overground,3.5
2,2021,London Overground,4.4
3,2021,London Overground,4.8
4,2021,London Overground,8.6
5,2021,London Overground,7.7
