Month,Year,Transport Mode,Volume
6,2019,London Underground / Docklands Light Railway,117.3
7,2019,London Underground / Docklands Light Railway,121.3
8,2019,London Underground / Docklands Light Railway,112.1
9,2019,London Underground / Docklands Light Railway,108.10000000000001
9,2019,London Underground / Docklands Light Railway,121.7
10,2019,London Underground / Docklands Light Railway,123.3
11,2019,London Underground / Docklands Light Railway,127.3
12,2019,London Underground / Docklands Light Railway,98.7
1,2020,London Underground / Docklands Light Railway,115.0
2,2020,London Underground / Docklands Light Railway,115.5
3,2020,London Underground / Docklands Light Railway,67.0
4,2020,London Underground / Docklands Light Railway,6.9
5,2020,London Underground / Docklands Light Railway,8.1
6,2020,London Underground / Docklands Light Railway,15.4
7,2020,London Underground / Docklands Light Railway,25.099999999999998
8,2020,London Underground / Docklands Light Railway,32.4
9,2020,London Underground / Docklands Light Railway,40.5
10,2020,London Underground / Docklands Light Railway,44.0
11,2020,London Underground / Docklands Light Railway,37.800000000000004
11,2020,London Underground / Docklands Light Railway,36.1
12,2020,London Underground / Docklands Light Railway,21.5
1,2021,London Underground / Docklands Light Railway,19.5
2,2021,London Underground / Docklands Light Railway,22.900000000000002
3,2021,London Underground / Docklands Light Railway,25.7
4,2021,London Underground / Docklands Light Railway,42.3
5,2021,London Underground / Docklands Light Railway,47.5
6,2021,London Underground / Docklands Light Railway,54.2
7,2021,London Underground / Docklands Light Railway,55.0
8,2021,London Underground / Docklands Light Railway,57.1
9,2021,London Underground / Docklands Light Railway,64.10000000000001
10,2021,London Underground / Docklands Light Railway,76.8
10,2021,London Underground / Docklands Light Railway,80.9
11,2021,London Underground / Docklands Light Railway,82.8
12,2021,London Underground / Docklands Light Railway,50.0
1,2022,London Underground / Docklands Light Railway,66.10000000000001
2,2022,London Underground / Docklands Light Railway,71.9
3,2022,London Underground / Docklands Light Railway,77.0
4,2022,London Underground / Docklands Light Railway,86.3
5,2022,London Underground / Docklands Light Railway,87.69999999999999
6,2022,London Underground / Docklands Light Railway,78.4
7,2022,London Underground / Docklands Light Railway,87.8
8,2022,London Underground / Docklands Light Railway,80.30000000000001
9,2022,London Underground / Docklands Light Railway,86.1
10,2022,London Underground / Docklands Light Railway,95.8
10,2022,London Underground / Docklands Light Railway,95.3
11,2022,London Underground / Docklands Light Railway,102.69999999999999
12,2022,London Underground / Docklands Light Railway,74.2
1,2023,London Underground / Docklands Light Railway,92.60000000000001
2,2023,London Underground / Docklands Light Railway,97.6
3,2023,London Underground / Docklands Light Railway,92.5
4,2023,London Underground / Docklands Light Railway,99.7
5,2023,London Underground / Docklands Light Railway,95.9
6,2023,London Underground / Docklands Light Railway,98.10000000000001
7,2023,London Underground / Docklands Light Railway,102.0
8,2023,London Underground / Docklands Light Railway,93.8
9,2023,London Underground / Docklands Light Railway,91.0
10,2023,London Underground / Docklands Light Railway,101.7
10,2023,London Underground / Docklands Light Railway,103.6
11,2023,London Underground / Docklands Light Railway,109.7
12,2023,London Underground / Docklands Light Railway,87.6
1,2024,London Underground / Docklands Light Railway,94.60000000000001
2,2024,London Underground / Docklands Light Railway,100.8
3,2024,London Underground / Docklands Light Railway,101.3
4,2024,London Underground / Docklands Light Railway,96.60000000000001
5,2024,London Underground / Docklands Light Railway,99.4
6,2024,London Underground / Docklands Light Railway,100.6
7,2024,London Underground / Docklands Light Railway,102.8
